[INFO] (00:00:0007): compiling base_vs.hlsl, type: vs
[WARN] (00:14:0984): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0001): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0018): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0035): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0051): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0067): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0084): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0101): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0118): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0134): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0151): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0167): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0184): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0201): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0218): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0234): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0251): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0268): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0284): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0301): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0319): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0335): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0351): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0367): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0384): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0401): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0418): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0434): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0451): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0468): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0484): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0501): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0518): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0534): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0551): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0567): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0585): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0602): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0619): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0634): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0651): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0667): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0684): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0702): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0717): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0734): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0751): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0768): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0784): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0801): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0818): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0836): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0853): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0868): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0884): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0901): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0917): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0934): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0951): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0967): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:15:0985): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0001): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0018): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0034): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0051): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0069): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0084): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0102): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0118): timers are not ready yet (start: not ready, end: not ready)
